,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
20843,Lichtenberg,Neu Lichtenberg,Private room,20,1,1,0.37,1,67
20844,Pankow,Buchholz,Entire home/apt,70,2,3,1.32,1,0
20845,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,69,6,2,0.71,2,19
20846,Neukölln,Reuterstraße,Entire home/apt,50,1,5,2.03,1,53
20847,Lichtenberg,Frankfurter Allee Süd,Entire home/apt,40,1,6,2.61,1,22
20848,Neukölln,Schillerpromenade,Private room,29,5,1,0.4,1,220
20849,Tempelhof - Schöneberg,Friedenau,Private room,17,3,4,2.22,1,277
20851,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,Private room,45,1,5,1.95,1,79
20852,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,42,2,9,4.29,1,0
20853,Neukölln,Rixdorf,Private room,48,3,4,1.9,1,35
20855,Charlottenburg-Wilm.,Wiesbadener Straße,Private room,39,1,3,1.18,1,147
20856,Pankow,Prenzlauer Berg Nordwest,Private room,50,2,3,1.61,1,0
20857,Mitte,Moabit West,Entire home/apt,50,2,2,1.02,1,53
20858,Lichtenberg,Neu Lichtenberg,Private room,35,4,4,1.48,1,84
20859,Tempelhof - Schöneberg,Tempelhof,Private room,29,4,6,2.4,2,40
20860,Neukölln,Britz,Private room,20,5,1,0.42,1,0
20861,Steglitz - Zehlendorf,Albrechtstr.,Entire home/apt,25,7,1,0.45,1,98
20862,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Private room,28,20,3,1.22,1,157
20863,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,135,3,8,3.04,1,339
20864,Charlottenburg-Wilm.,Kurfürstendamm,Private room,40,3,9,3.65,1,10
20865,Neukölln,Schillerpromenade,Private room,65,2,13,6.39,1,42
20866,Neukölln,Reuterstraße,Private room,110,1,15,5.56,1,42
20868,Neukölln,Reuterstraße,Entire home/apt,70,2,8,3.64,1,35
20869,Neukölln,Reuterstraße,Private room,50,1,1,0.41,1,89
20870,Mitte,Moabit West,Private room,30,3,2,1.13,1,98
20872,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,50,2,1,0.38,2,83
20873,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,55,2,2,1.13,1,0
20874,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,50,1,2,1.13,1,74
20875,Neukölln,Schillerpromenade,Entire home/apt,70,14,2,0.86,1,0
20876,Charlottenburg-Wilm.,Westend,Private room,48,2,15,6.52,1,71
20877,Mitte,Brunnenstr. Süd,Private room,40,1,9,4.09,1,190
20878,Tempelhof - Schöneberg,Schöneberg-Süd,Private room,30,3,7,3.09,1,0
20879,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,70,2,6,2.22,1,0
20881,Mitte,Moabit Ost,Entire home/apt,65,4,12,5.71,2,130
20882,Mitte,Alexanderplatz,Entire home/apt,79,2,8,3.87,1,14
20884,Pankow,Prenzlauer Berg Ost,Private room,31,1,2,1.2,1,337
20885,Mitte,Tiergarten Süd,Private room,25,4,8,3.24,1,0
20886,Charlottenburg-Wilm.,Schloß Charlottenburg,Entire home/apt,34,1,4,1.79,1,13
20887,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,25,1,3,1.96,2,60
20889,Mitte,Parkviertel,Entire home/apt,50,1,5,1.9,1,98
20890,Charlottenburg-Wilm.,Düsseldorfer Straße,Private room,50,1,23,9.32,1,165
20891,Neukölln,Schillerpromenade,Private room,27,18,1,0.79,1,20
20892,Neukölln,Neuköllner Mitte/Zentrum,Private room,30,3,3,1.25,1,175
20893,Charlottenburg-Wilm.,Otto-Suhr-Allee,Private room,45,1,13,5.65,1,140
20894,Neukölln,Schillerpromenade,Entire home/apt,35,90,1,0.53,1,173
20895,Mitte,Wedding Zentrum,Private room,25,14,1,0.77,1,35
20897,Neukölln,Schillerpromenade,Private room,35,7,1,0.59,1,45
20898,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,Private room,40,1,18,6.92,1,142
20899,Neukölln,Schillerpromenade,Private room,25,2,5,1.92,1,60
20900,Mitte,Osloer Straße,Entire home/apt,214,1,5,2.27,1,57
20901,Treptow - Köpenick,Johannisthal,Private room,60,1,2,0.92,1,35
20902,Neukölln,Neuköllner Mitte/Zentrum,Entire home/apt,55,3,2,1.03,1,138
20903,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,50,2,5,2.24,1,0
20904,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,80,4,2,0.8,2,0
20905,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,90,3,2,1.02,1,167
20906,Steglitz - Zehlendorf,Ostpreußendamm,Private room,19,1,6,4.09,1,112
20907,Steglitz - Zehlendorf,Albrechtstr.,Private room,20,1,6,2.73,1,55
20908,Mitte,Wedding Zentrum,Entire home/apt,130,2,5,2.24,1,0
20909,Mitte,Parkviertel,Private room,39,1,3,1.91,1,1
20910,Pankow,Prenzlauer Berg Ost,Private room,25,2,12,4.93,1,7
20911,Neukölln,Rixdorf,Private room,68,1,5,1.92,1,29
20912,Mitte,Osloer Straße,Private room,19,2,10,4.11,1,115
20913,Mitte,Tiergarten Süd,Private room,40,2,2,1.28,1,8
20914,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,149,1,8,5.0,9,25
20915,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,80,1,7,5.38,9,27
20917,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,60,1,10,5.36,9,25
20918,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,149,1,11,9.43,9,30
20919,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,80,2,9,6.43,9,26
20920,Tempelhof - Schöneberg,Schöneberg-Nord,Private room,29,2,8,3.81,1,29
